1.767562,3.898202,61.000000,-1.387088,0.000000,0.811202,7.000000,6.000000,2.319852
2.692266,3.852558,65.000000,1.127875,0.000000,1.758153,9.000000,70.000000,3.572967
-0.012775,3.282970,54.000000,-1.404376,0.000000,-1.379305,6.000000,0.000000,1.128918
-0.404737,3.857615,67.000000,1.813803,0.000000,-1.380299,7.000000,20.000000,1.588145
2.059440,3.494480,60.000000,1.476589,0.000000,1.357593,7.000000,20.000000,2.789369
1.316524,4.120694,64.000000,2.191579,0.000000,-1.391577,7.000000,5.000000,2.841362
1.219088,3.809375,69.000000,-1.362463,1.000000,0.226248,7.000000,20.000000,2.215496
0.513412,3.663841,64.000000,1.505340,0.000000,0.050992,7.000000,70.000000,2.284463
2.077776,3.629982,64.000000,-1.380186,0.000000,-1.387964,6.000000,0.000000,2.514736
0.219137,3.243565,63.000000,-1.396414,0.000000,-1.382465,6.000000,0.000000,1.123756
